氏名,X,Y,R2,仮説
submit,H都市公園数【箇所】,A総人口【人】,0.994416713634942,なんとなく
片岡,A総人口【人】,H都市公園数【箇所】,0.9944167136349418,センス
masako,A総人口【人】,H都市公園数【箇所】,0.9944167136349418,身の回りであまり公園を見かけないから
安藤帝国,A総人口【人】,H都市公園数【箇所】,0.9944167136349418,人口に比例して需要が出ると考えた。
安藤帝国,H道路実延長【ｋｍ】,A総人口【人】,0.9922619592029398,人口の増加に伴って道路も延長されていく
片岡,A総人口【人】,H道路実延長【ｋｍ】,0.9922619592029396,かん
特進アスリート,J一人当たりの医療費【千円】,A65歳以上人口【人】,0.9890759072693414,お年寄りは医療費がかかるから
土曜日,A65歳以上人口【人】,J一人当たりの医療費【千円】,0.9890759072693414,よく医療を必要とする高齢者が多ければ一人当たりの医療費も高くなるはずだから
黒メガネ,A総人口【人】,C耕地面積【ｈａ】,0.9852347971177692,人口が多いほど、住宅などの需要が増えて、耕地の面積が減る。
安藤帝国,A総人口【人】,C耕地面積【ｈａ】,0.9852347971177692,人口が増えるにつれて耕地面積が減少する
土曜日,A総人口【人】,C耕地面積【ｈａ】,0.9852347971177692,人口が増えて建物がたくさん建てられると、耕地面積は減るから
修学旅行,A総人口【人】,E小学校数【校】,0.9806833763356684,学校の中で一番直線っぽかったから
黒メガネ,A総人口【人】,E小学校数【校】,0.9806833763356684,人が増えてても、それはあくまで高齢者で、子供の数は減っている。
メロン,A総人口【人】,E小学校数【校】,0.9806833763356684,人口が増えるにつれて、小学校数が増える
メロン,A総人口【人】,E小学校数【校】,0.9806833763356684,人口が増えるにつれて小学校数が増える
片岡,H都市公園数【箇所】,A65歳以上人口【人】,0.9787191743099312,直感
フルネ,A65歳以上人口【人】,I医師数【人】,0.9737274114742024,人口が多いほど多くなると思ったから
安藤帝国,A65歳以上人口【人】,I医師数【人】,0.9737274114742024,医師が必要になる
安藤帝国,A総人口【人】,I医師数【人】,0.9678328376932196,人口増加と共に医師の数が増加する
メロン,A15歳未満人口【人】,E小学校数【校】,0.9648312126151132,15歳未満の人口が増えるにつれて小学校数が増える
土曜日,A15歳未満人口【人】,E小学校数【校】,0.9648312126151132,15歳未満の子供が多いほど、小学校も多くなると思ったから
岡の王,A総人口【人】,J一人当たりの医療費【千円】,0.9584578038403984,人口が増えるということは、出生数が増加する、あるいは、高齢者が長生きして病院に行くようになるので、人口が増えるにつれて、一人当たりの医療費が増加すると思う。
特進アスリート,A65歳以上人口【人】,I病院数【施設】,0.9356920246921272,老人はよく病院をりようするだろうから
土曜日,A65歳以上人口【人】,I病院数【施設】,0.9356920246921272,"よく病院に行く高齢者が多ければ病院数も多くなると思ったから
"
片岡,E小学校数【校】,A出生数【人】,0.9274653883288848,出生数と小学校の数になんかありそうだったから
粗大ごみ,D市町村数【‐】,I病院数【施設】,0.9094117127479135,病院一件当たりの医師の数はほとんど比例に等しい
岡の上の王,A総人口【人】,J厚生年金保険受給権者年金総額【千円】,0.8905890806044121,人口が増えることは年寄りが増えることにもつながるから
岡の上の王,A出生数【人】,E幼稚園数【園】,0.889539227082648,出生数が増えれば、その分幼稚園に通う子供も増えるので、待機児童問題などの観点から幼稚園の数も増えるのではないか。
submit,E幼稚園数【園】,A15歳未満人口【人】,0.8504683659556938,幼稚園の数が減る＝子供たちが減っていると思うから
エアロビクスミッキー,J厚生年金保険受給権者年金総額【千円】,A65歳以上人口【人】,0.8264925423139589,年金は６５歳以上がもらうものだから。
岡の上の王,A65歳以上人口【人】,J厚生年金保険受給権者年金総額【千円】,0.8264925423139586,なんとなく。
岡の上の王,A65歳以上人口【人】,J厚生年金保険受給権者年金総額【千円】,0.8264925423139586,なんとなく。
岡の上の王,A65歳以上人口【人】,J厚生年金保険受給権者年金総額【千円】,0.8264925423139586,なんとなく。
メロン,A総人口【人】,Hごみ処理量（総量）【ｔ】,0.7986495470098214,"人口が増えるにつれてごみ処理量が増える
"
特進アスリート,D教育費（都道府県財政）【千円】,A15歳未満人口【人】,0.7880230405984257,子供の数が多いほど、教育費が高いと思ったから。
貴啓,A15歳未満人口【人】,D教育費（都道府県財政）【千円】,0.7880230405984257,15歳未満の人口が多いほどかかる教育費が多いと思ったから
まさこ,I医師数【人】,J厚生年金保険受給権者年金総額【千円】,0.7774677700986935,医療分野同士だから
フルネ,A総人口【人】,K交通事故発生件数【件】,0.7227678711356524,人口が多くなるほど、事故数も増えると思ったから
貴啓,A総人口【人】,D地方税（都道府県財政）【千円】,0.578264779338725,人口が多いほど地方税も上がると思ったから
submit,G博物館数【館】,A総人口【人】,0.5706873640768915,人口が多ければ博物館も多くなると思ったから。
修学旅行,A総人口【人】,C農業産出額【百万円】,0.4745942619363981,関係がありそうだと思ったから
フルネ,A15歳未満人口【人】,E中学校数【校】,0.38395905296549,15歳未満の人口が多ければ、中学校の数も増えると思ったから
修学旅行,C農業産出額【百万円】,B年平均気温【℃】,0.3037388491745074,直線だったから
断定の「たり」,A15歳未満人口【人】,B年平均気温【℃】,0.2832382215780625,若者の活動が気温に影響を与えている可能性があるため。
有本,A総人口【人】,B年平均気温【℃】,0.2161986773660825,1710
フルネ,A総人口【人】,B年平均気温【℃】,0.2161986773660825,人口が多いほど、数が増えると思ったから
まさこ,A未婚人口（15歳以上）（男）【人】,I身長（高校2年）（男）【ｃｍ】,0.2070103863148611,絶対関係ないと思ったから
そがのくらやまだのいしかわのまろ,K交通事故発生件数【件】,D行政総投資額【千円】,0.1953042952389874,交通事故でお金がかかってるかもしれないから。
エアロビクスミッキー,E大学数【校】,I体重（高校2年）（女）【ｋｇ】,0.1369071087894626,グラフの形がバラバラだったから
メロン,A総人口【人】,D実質収支比率（都道府県財政）【％】,0.1262431198591185,人口が増えるほど、実質収支比率が上がる
エアロビクスミッキー,G仏教系信者数【人】,F新規求職申込件数（一般）【件】,0.1227909956687218,ばらばらだから
貴啓,I2500ｇ未満の出生数【人】,G仏教系信者数【人】,0.1171876867458917,さすがに関係ないと思ったから
貴啓,B降水量（年間）【ｍｍ】,C農業産出額【百万円】,0.1131198725169747,降水量による農業の産出額のかかわりがあると思ったから
黒メガネ,A総人口【人】,B降水量（年間）【ｍｍ】,0.0993632942368563,人口が少ない時期ほど、大雨による被害が多かったと考えるから。
貴啓,D人件費（都道府県財政）【千円】,F超過実労働時間数（男）（～2019）【時間】,0.0370046956493824,超過実労働時間が多ければ人件費も高くなると思ったから
藤原武智麻呂,B降水日数（年間）【日】,E幼稚園数【園】,0.001704416164949,幼稚園児が天候の変化をもたらすかもしれないから。
