調査年,地域,A_総人口【人】,A_15歳未満人口【人】,A_65歳以上人口【人】,A_未婚人口（15歳以上）（男）【人】,A_未婚人口（15歳以上）（女）【人】,A_有配偶人口（15歳以上）（男）【人】,A_有配偶人口（15歳以上）（女）【人】,A_出生数【人】,B_年平均気温【℃】,B_降水日数（年間）【日】,B_降水量（年間）【ｍｍ】,C_農業産出額【百万円】,C_耕地面積【ｈａ】,D_市町村数【‐】,D_財政力指数（都道府県財政）【‐】,D_実質収支比率（都道府県財政）【％】,D_経常収支比率（都道府県財政）【％】,D_歳入決算総額（都道府県財政）【千円】,D_地方税（都道府県財政）【千円】,D_教育費（都道府県財政）【千円】,D_人件費（都道府県財政）【千円】,D_普通税（地方税）【千円】,D_行政総投資額【千円】,E_幼稚園数【園】,E_小学校数【校】,E_中学校数【校】,E_高等学校数【校】,E_大学数【校】,F_新規求職申込件数（一般）【件】,F_所定内実労働時間数（男）（～2019）【時間】,F_超過実労働時間数（男）（～2019）【時間】,G_社会教育関係職員数【人】,G_公民館数【館】,G_図書館数【館】,G_博物館数【館】,G_社会体育施設数【施設】,G_重要文化財指定件数【件】,G_ＮＰＯ法人認証数【法人】,G_献血者数【人】,H_ガソリン販売量【ｋｌ】,H_ごみ総排出量（総量）【ｔ】,H_道路実延長【ｋｍ】,H_都市公園数【箇所】,I_身長（高校2年）（男）【ｃｍ】,I_身長（高校2年）（女）【ｃｍ】,I_体重（高校2年）（男）【ｋｇ】,I_体重（高校2年）（女）【ｋｇ】,I_50ｍ走（中学2年）（男）【秒】,I_病院数【施設】,I_医師数【人】,I_医薬品販売業数【所】,I_2500ｇ未満の出生数【人】,J_生活保護被保護実世帯数【世帯】,J_一人当たりの医療費【千円】,J_厚生年金保険受給権者年金総額【千円】,K_消防本部・署数【署】,K_交通事故発生件数【件】
2020年度,石川県,1132526,137096,333660,140255,105647,280589,281099,7712,15.9,194,2535.5,53500,40800,19,0.52,0.3,94.3,623972314,169068117,110907225,130705859,334715096,372262912,50,204,89,56,13,28982,164,16,256,290,40,30,831,134,363,46290,464571,377643,13121,1139,170.5,158.1,61.3,52.6,8,91,3486,613,651,6103,347,256037943,67,2025
2019年度,石川県,1139000,140000,337000,139908.6,105552,282767.2,283198.6,7808,15.8,158,2009.5,55100,41000,19,0.51,0.2,95.8,541721213,167528005,106764882,129042561,337593527,356698108,52,204,89,56,13,29909,164,16,256,290,40,30,831,133,354,43642,544702,389383,13108.6,1133,170.2,158.4,61.7,53.3,8,94,3458,572,715,6126,361,255762505,67,2408
2018年度,石川県,1145000,143000,334000,139562.2,105457,284945.4,285298.2,8359,15.5,185,2765.5,54500,41200,19,0.5,0.2,93.5,535927039,168910215,107914057,130074924,337706368,333857740,55,208,89,56,13,30847,167,16,256,290,40,30,831,133,358,41981,556396,393629,13097.6,1124,170.3,158.1,61.5,53.2,7.9,94,3430,537,718,6183,354,258296411,67,2642
2017年度,石川県,1148000,145000,331000,139215.8,105362,287123.6,287397.8,8696,15,179,2703,54800,41500,19,0.5,0.3,94.2,537052547,163880011,108433075,130126704,330286882,304133894,59,211,89,56,12,32371,168,17,273.6666667,298.3333333,41,29.66666667,806.3333333,133,365,42548,581879,406653,13069.3,1124,170.7,158,61.4,53.1,7.9,94,3417.5,549,790,6366,350,261516433,67,3198
2016年度,石川県,1151000,147000,327000,138869.4,105267,289301.8,289497.4,8928,15.7,177,2390.5,54800,41800,19,0.48,0.2,95.2,567888708,162424683,108389928,132020383,326824536,273931778,61,212,91,56,12,33986,169,15,291.3333333,306.6666667,42,29.33333333,781.6666667,132,363,42955,616065,414689,13053.2,1121,170.3,158.3,61.1,53,8,95,3405,578,772,6419,344,261514147,68,3541
2015年度,石川県,1154008,148372,317151,138523,105172,291480,291597,9072,15.3,174,2164.5,50000,42100,19,0.47,0.2,94.1,534388745,161765785,117291503,132295579,323559704,248572943,61,222,94,56,12,36305,169,15,309,315,43,29,757,130,353,44597,617024,421269,13039.1,1114,170.7,158,62.1,52.7,8,97,3354,614,861,6438,346,263963842,69,3791
2014年度,石川県,1157000,152000,313000,138892.6,105390.2,293286,293371.6,8961,14.8,161,2634.5,47500,42400,19,0.45,0.3,92.8,539721961,139911977,108634733,134350455,302936339,302630345,68,228,95,56,12,38863,168,14,316.5,315,44.5,29.25,760.25,130,346,46652,614253,417629,13007.6,1107,170.6,158,61.1,52,8,97,3303,625,811,6361,333,262694238,69,4074
2013年度,石川県,1160000,154000,302000,139262.2,105608.4,295092,295146.2,9449,15,181,3318,51800,42700,19,0.44,0.2,92.4,572743915,130912018,102513305,131953881,290197900,317845345,73,230,98,56,12,41416,168,17,324,315,46,29.5,763.5,129,350,49663,653742,422364,13071.3,1097,170.4,158.4,61.8,52.7,8,98,3274,639,868,6253,329,265094560,69,4639
2012年度,石川県,1164000,156000,291000,139631.8,105826.6,296898,296920.8,9544,14.8,187,2675.5,55900,42900,19,0.43,0.3,93.4,570721713,127077390,107188541,139381031,284157581,270706200,73,231,101,56,12,45084,168,15,331.5,315,47.5,29.75,766.75,129,347,51732,615181,422358,13015.2,1093,170.9,157.9,62.3,53.1,8,100,3245,649,823,6025,325,275232114,69,5156
2011年度,石川県,1167000,158000,279000,140001.4,106044.8,298704,298695.4,9555,14.8,186,2467,55700,43000,19,0.45,0.2,94.7,594892154,123381222,106021471,142493982,282412614,268732610,75,232,102,56,12,47732,170,14,339,315,49,30,770,127,315,54683,666374,424914,12994.9,1089,170.5,158.4,62.4,52.6,8.05,101,3184,507,850,5703,321,277237574,68,5544
2010年度,石川県,1169788,159283,275337,140371,106263,300510,300470,9602,15.1,197,2858.5,50800,43200,19,0.47,0.2,92.6,543309249,123316369,108840411,145300304,282072711,270726686,75,233,102,60,12,53094,168,13,348.3333333,317,48.33333333,29.66666667,778,132,296,52520,635243,423800,13018,1078,170.5,158.3,62.6,52.8,8.1,101,3123,684,842,5372,311,273363004,69,6037
2009年度,石川県,1171000,159000,274000,140629,106664.2,301550.4,301505,9849,14.8,163,2292,53200,43400,19,0.5,0.3,95.3,557586469,130816786,112116939,147545103,292176162,266985466,75,233,105,63,12,55135,168,9,357.6666667,319,47.66666667,29.33333333,786,130,283,52888,651051,431058,12986.5,1061,170.6,158,62.3,53,8,101,3075.5,839,773,4928,301,268468831,68,6320
2008年度,石川県,1172000,161000,267000,140887,107065.4,302590.8,302540,10199,14.9,165,1859,58300,43700,19,0.48,0.3,96.7,525304323,157055877,115127820,153521842,315369573,270965155,76,233,105,62,12,53843,170,18,367,321,47,29,794,126,262,51062,658614,468518,12943.2,1040,170.7,158.5,62.9,54.5,8,102,3028,809,838,4559,291,263293223,69,6769
2007年度,石川県,1173000,163000,261000,141145,107466.6,303631.2,303575,10294,15.1,160,1820.5,55700,44000,19,0.45,0.3,96.7,601685500,164179526,123971147,157589892,319994473,296975258,78,238,107,62,11,47742,170,16,385,313.3333333,46.66666667,29,795.3333333,124,239,48532,683138,732407,12849.9,1033,171.2,158.2,63.1,53.8,8,105,3004,708,900,4403,286.3333333,256941486,69,7438
2006年度,石川県,1173000,164000,253000,141403,107867.8,304671.6,304610,10235,14.6,173,2447,59000,44300,19,0.42,0.7,92.8,509484960,148698136,118951132,157395826,284807607,295284765,78,238,110,62,11,51867,171,15,403,305.6666667,46.33333333,29,796.6666667,124,220,52139,713653,496778,12786.4,1014,170.8,158,62.9,54.2,8.1,106,2980,759,924,4294,281.6666667,253049875,68,7948
2005年度,石川県,1174026,166175,245739,141661,108269,305712,305645,10049,14.8,200,2545,60600,44500,22,0.4,0.3,92.9,527849793,132178984,127250782,159968572,263637299,328525722,79,248,111,65,11,57403,171,15,421,298,46,29,798,124,189,59856,775014,495160,12689.7,1005,171.5,158.1,64.1,53.8,8,109,2980.5,739,853,4216,277,251007544,71,8608
2004年度,石川県,1178000,168000,240000,141670.4,108449.6,306740,306380,10528,15.8,171,2329,61600,45000,39,0.38,0.3,90.8,543817358,129180684,129115158,158750089,260308876,375500725,79,255,112,65,10,55457,171,16,468.3333333,310,45.33333333,27.33333333,791.6666667,124,148,59856,784622,476972,12638.6,993,171.2,158.3,62.8,53.6,8,111,2981,787,960,4115,273.6666667,246965505,71,8307
2003年度,石川県,1179000,170000,236000,141679.8,108630.2,307768,307115,10906,14.8,171,2073,68400,45200,41,0.38,0.3,85.4,581967055,125987993,124180988,159141862,258525796,450760255,79,263,111,66,10,63642,173,14,515.6666667,322,44.66666667,25.66666667,785.3333333,122,119,59856,734652,487782,12558.3,965,170.7,158.7,62.9,53.8,8,114,2961,819,896,3940,270.3333333,244004602,71,8699
2002年度,石川県,1180000,172000,232000,141689.2,108810.8,308796,307850,10886,15.2,179,2793,64600,45600,41,0.38,0.3,86.7,635029569,126733247,127187105,165655034,263312367,545480728,80,266,112,66,10,68899,171,12,563,334,44,24,779,121,79,59856,745718,485579,12502.6,941,170.7,157.8,62.9,53.2,8,114,2941,864,963,3652,267,236347741,70,8998
2001年度,石川県,1182000,174000,227000,141698.6,108991.4,309824,308585,11342,14.8,182,1921,66200,46000,41,0.38,0.3,84,703494938,144296650,130928381,169547888,282604650,547410555,78,274,113,65,10,67363,172,13,641.3333333,334.6666667,43.33333333,23.33333333,760.3333333,121,43,59856,694674,480324,12430.5,919,171.1,158.5,62.6,54.1,8,118,2875,878,972,3376,269.3333333,223826147,71,9523
2000年度,石川県,1180977,175569,219666,141708,109172,310852,309320,11467,15.1,160,2126,68500,46300,41,0.4,0.3,81.8,690217659,148828068,141099226,168300904,287531778,570971811,78,275,113,65,10,62751,171,14,719.6666667,335.3333333,42.66666667,22.66666667,741.6666667,121,43,59856,695618,492525,12352.2,893,171.2,158,62.2,53.8,8,121,2809,916,925,3115,271.6666667,218956152,71,9645
1999年度,石川県,1180000,177000,215000,141708,109172,310852,309320,11290,15.3,181,2575.5,72700,46700,41,0.44,0.3,81.9,695658618,143519472,130533631,165414242,285054503,623828759,79,277,113,66,8,63033,170,13,798,336,42,22,723,121,43,59856,660398,483528,12266,873,170.9,158.5,61.5,53.4,8,120,2906.5,936,873,2838,274,213855324,71,9250
1998年度,石川県,1181000,180000,210000,141708,109172,310852,309320,11642,15.6,184,2631,73500,47200,41,0.47,0.3,83.9,685353818,149611399,132200864,164444202,290667991,634755186,79,279,112,66,8,62495,174,12,798,336,42,22,723,121,43,59856,681481,483528,12194.6,844,170.5,158.3,61,53.7,8,123,3004,999,902,2712,274,207742098,71,8970
