調査年,地域,A1101_総人口【人】,A1301_15歳未満人口【人】,A1303_65歳以上人口【人】,A4101_出生数【人】,A9101_婚姻件数【組】,E2101_小学校数【校】,E3101_中学校数【校】,E4101_高等学校数【校】,F1101_労働力人口【人】,
2020年度,埼玉県 さいたま市,1324025 ,168805 ,304992 ,10006 ,5999 ,108 ,67 ,34 ,615596 ,
2020年度,埼玉県 川越市,354571 ,36460 ,89061 ,2314 ,1369 ,33 ,26 ,15 ,160561 ,
2020年度,埼玉県 熊谷市,194415 ,21814 ,57262 ,1117 ,726 ,30 ,17 ,7 ,96306 ,
2020年度,埼玉県 川口市,594274 ,72665 ,137923 ,3969 ,2833 ,52 ,27 ,7 ,292600 ,
2020年度,埼玉県 行田市,78617 ,8240 ,25010 ,371 ,249 ,16 ,8 ,1 ,39746 ,
2020年度,埼玉県 秩父市,59674 ,6590 ,20342 ,336 ,161 ,13 ,8 ,2 ,29303 ,
2020年度,埼玉県 所沢市,342464 ,33050 ,87050 ,2162 ,1330 ,32 ,15 ,6 ,156794 ,
2020年度,埼玉県 飯能市,80361 ,8424 ,25204 ,432 ,221 ,12 ,10 ,4 ,38940 ,
2020年度,埼玉県 加須市,111623 ,12547 ,33283 ,546 ,375 ,22 ,9 ,3 ,56924 ,
2020年度,埼玉県 本庄市,78569 ,8894 ,22661 ,411 ,258 ,13 ,6 ,6 ,39724 ,
2020年度,埼玉県 東松山市,91791 ,10582 ,25995 ,531 ,351 ,11 ,6 ,3 ,43431 ,
2020年度,埼玉県 春日部市,229792 ,21178 ,68663 ,1265 ,817 ,22 ,12 ,6 ,109493 ,
2020年度,埼玉県 狭山市,148699 ,15467 ,47661 ,796 ,514 ,16 ,9 ,6 ,71397 ,
2020年度,埼玉県 羽生市,52862 ,5295 ,15821 ,248 ,172 ,11 ,3 ,4 ,27277 ,
2020年度,埼玉県 鴻巣市,116828 ,13254 ,34993 ,667 ,381 ,19 ,8 ,3 ,58208 ,
2020年度,埼玉県 深谷市,141268 ,16815 ,40881 ,869 ,464 ,19 ,11 ,5 ,72359 ,
2020年度,埼玉県 上尾市,226940 ,25395 ,61216 ,1439 ,876 ,22 ,12 ,5 ,111781 ,
2020年度,埼玉県 草加市,248304 ,29088 ,61664 ,1459 ,1009 ,21 ,11 ,4 ,114509 ,
2020年度,埼玉県 越谷市,341621 ,43497 ,87123 ,2381 ,1474 ,30 ,16 ,8 ,164934 ,
2020年度,埼玉県 蕨市,74283 ,7885 ,17247 ,492 ,388 ,7 ,4 ,2 ,36295 ,
2020年度,埼玉県 戸田市,140899 ,20025 ,23065 ,1205 ,746 ,12 ,6 ,2 ,69930 ,
2020年度,埼玉県 入間市,145651 ,16610 ,42924 ,745 ,466 ,16 ,12 ,5 ,69911 ,
2020年度,埼玉県 朝霞市,141083 ,19106 ,27533 ,1251 ,777 ,10 ,5 ,2 ,68956 ,
2020年度,埼玉県 志木市,75346 ,9897 ,18689 ,563 ,298 ,8 ,5 ,3 ,35444 ,
2020年度,埼玉県 和光市,83989 ,11397 ,15040 ,748 ,523 ,9 ,3 ,2 ,43376 ,
2020年度,埼玉県 新座市,166017 ,20924 ,42180 ,1029 ,571 ,17 ,8 ,5 ,76325 ,
2020年度,埼玉県 桶川市,74748 ,8611 ,22126 ,422 ,255 ,7 ,4 ,2 ,37441 ,
2020年度,埼玉県 久喜市,150582 ,16537 ,46097 ,837 ,465 ,23 ,11 ,5 ,73351 ,
2020年度,埼玉県 北本市,65201 ,6593 ,21183 ,359 ,225 ,8 ,4 ,1 ,31824 ,
2020年度,埼玉県 八潮市,93363 ,11335 ,21283 ,799 ,530 ,10 ,5 ,2 ,46031 ,
2020年度,埼玉県 富士見市,111859 ,13657 ,27171 ,805 ,480 ,11 ,6 ,1 ,52750 ,
2020年度,埼玉県 三郷市,142145 ,18162 ,38602 ,1044 ,592 ,19 ,8 ,3 ,68914 ,
2020年度,埼玉県 蓮田市,61499 ,6739 ,19902 ,351 ,221 ,8 ,5 ,1 ,29348 ,
2020年度,埼玉県 坂戸市,100275 ,11428 ,29435 ,525 ,344 ,12 ,7 ,4 ,45958 ,
2020年度,埼玉県 幸手市,50066 ,4917 ,17633 ,210 ,123 ,9 ,3 ,1 ,24267 ,
2020年度,埼玉県 鶴ヶ島市,70117 ,7872 ,20241 ,402 ,261 ,8 ,5 ,1 ,32646 ,
2020年度,埼玉県 日高市,54571 ,6286 ,17966 ,261 ,166 ,6 ,6 ,1 ,26456 ,
2020年度,埼玉県 吉川市,71979 ,10383 ,17315 ,581 ,312 ,8 ,4 ,1 ,35190 ,
2020年度,埼玉県 ふじみ野市,113597 ,14377 ,29317 ,735 ,426 ,13 ,6 ,1 ,52573 ,
2020年度,埼玉県 白岡市,52214 ,6495 ,14597 ,407 ,200 ,6 ,4 ,1 ,26606 ,
2015年度,埼玉県 さいたま市,1263979 ,164722 ,284138 ,10735 ,6692 ,107 ,66 ,35 ,611916 ,
2015年度,埼玉県 川越市,350745 ,44231 ,87358 ,2688 ,1729 ,33 ,26 ,15 ,171369 ,
2015年度,埼玉県 熊谷市,198742 ,23986 ,52007 ,1464 ,906 ,30 ,17 ,7 ,100070 ,
2015年度,埼玉県 川口市,578112 ,74476 ,129410 ,4949 ,3251 ,52 ,26 ,9 ,298467 ,
2015年度,埼玉県 行田市,82113 ,9475 ,22874 ,532 ,322 ,16 ,8 ,1 ,42511 ,
2015年度,埼玉県 秩父市,63555 ,7683 ,19493 ,435 ,257 ,14 ,8 ,2 ,30991 ,
2015年度,埼玉県 所沢市,340386 ,39480 ,85215 ,2690 ,1628 ,32 ,15 ,6 ,166671 ,
2015年度,埼玉県 飯能市,80715 ,8693 ,22896 ,506 ,293 ,14 ,10 ,4 ,40506 ,
2015年度,埼玉県 加須市,112229 ,13510 ,28991 ,672 ,423 ,22 ,9 ,3 ,60291 ,
2015年度,埼玉県 本庄市,77881 ,9103 ,20965 ,536 ,350 ,13 ,5 ,6 ,39360 ,
2015年度,埼玉県 東松山市,91437 ,10787 ,23067 ,690 ,350 ,11 ,6 ,3 ,45950 ,
2015年度,埼玉県 春日部市,232709 ,26611 ,64924 ,1537 ,984 ,24 ,14 ,6 ,118020 ,
2015年度,埼玉県 狭山市,152405 ,17132 ,43489 ,954 ,674 ,16 ,10 ,6 ,74835 ,
2015年度,埼玉県 羽生市,54874 ,6338 ,14788 ,342 ,240 ,11 ,3 ,4 ,28050 ,
2015年度,埼玉県 鴻巣市,118072 ,14096 ,30968 ,785 ,447 ,19 ,8 ,3 ,59754 ,
2015年度,埼玉県 深谷市,143811 ,18574 ,37423 ,1022 ,589 ,19 ,11 ,5 ,73830 ,
2015年度,埼玉県 上尾市,225196 ,28557 ,57052 ,1706 ,1018 ,22 ,12 ,5 ,113813 ,
2015年度,埼玉県 草加市,247034 ,30223 ,57807 ,1857 ,1175 ,21 ,11 ,4 ,123273 ,
2015年度,埼玉県 越谷市,337498 ,44429 ,80330 ,2708 ,1730 ,30 ,16 ,8 ,167115 ,
2015年度,埼玉県 蕨市,72260 ,7804 ,16560 ,579 ,469 ,7 ,4 ,2 ,37864 ,
2015年度,埼玉県 戸田市,136150 ,19758 ,21764 ,1512 ,898 ,12 ,6 ,2 ,69851 ,
2015年度,埼玉県 入間市,148390 ,18610 ,38075 ,1016 ,610 ,16 ,12 ,5 ,74826 ,
2015年度,埼玉県 朝霞市,136299 ,18751 ,25398 ,1368 ,831 ,10 ,5 ,2 ,69670 ,
2015年度,埼玉県 志木市,72676 ,9518 ,17191 ,656 ,381 ,8 ,4 ,3 ,35729 ,
2015年度,埼玉県 和光市,80826 ,11260 ,13602 ,859 ,650 ,8 ,3 ,2 ,42228 ,
2015年度,埼玉県 新座市,162122 ,21855 ,39311 ,1327 ,746 ,17 ,8 ,5 ,82354 ,
2015年度,埼玉県 桶川市,73936 ,9094 ,20082 ,480 ,305 ,7 ,4 ,2 ,37041 ,
2015年度,埼玉県 久喜市,152311 ,17818 ,40589 ,965 ,632 ,23 ,11 ,5 ,78198 ,
2015年度,埼玉県 北本市,67409 ,7690 ,19028 ,386 ,223 ,8 ,4 ,1 ,34296 ,
2015年度,埼玉県 八潮市,86717 ,11422 ,19811 ,797 ,529 ,10 ,5 ,2 ,45699 ,
2015年度,埼玉県 富士見市,108102 ,13984 ,25897 ,973 ,541 ,11 ,6 ,1 ,54535 ,
2015年度,埼玉県 三郷市,136521 ,17491 ,34357 ,1169 ,728 ,19 ,8 ,3 ,70315 ,
2015年度,埼玉県 蓮田市,62380 ,7265 ,18290 ,419 ,262 ,8 ,5 ,1 ,30210 ,
2015年度,埼玉県 坂戸市,101679 ,12931 ,26642 ,684 ,371 ,13 ,7 ,4 ,49427 ,
2015年度,埼玉県 幸手市,52524 ,5695 ,15874 ,295 ,190 ,9 ,3 ,1 ,26323 ,
2015年度,埼玉県 鶴ヶ島市,70255 ,8802 ,17352 ,505 ,308 ,8 ,5 ,1 ,35313 ,
2015年度,埼玉県 日高市,56520 ,7342 ,16287 ,353 ,198 ,6 ,6 ,1 ,27798 ,
2015年度,埼玉県 吉川市,69738 ,10721 ,15097 ,655 ,353 ,8 ,3 ,1 ,36427 ,
2015年度,埼玉県 ふじみ野市,110970 ,15152 ,27211 ,958 ,470 ,13 ,6 ,1 ,53574 ,
2015年度,埼玉県 白岡市,51535 ,6477 ,13125 ,385 ,231 ,6 ,4 ,1 ,26251 ,
2010年度,埼玉県 さいたま市,1222434 ,166926 ,233564 ,11131 ,7286 ,106 ,66 ,36 ,621097 ,
2010年度,埼玉県 川越市,342670 ,44495 ,71713 ,2947 ,1910 ,33 ,26 ,15 ,171689 ,
2010年度,埼玉県 熊谷市,203180 ,25999 ,44184 ,1521 ,962 ,30 ,17 ,7 ,104295 ,
2010年度,埼玉県 川口市,561506 ,75626 ,107977 ,5210 ,3714 ,53 ,27 ,9 ,303086 ,
2010年度,埼玉県 行田市,85786 ,10777 ,19208 ,542 ,385 ,16 ,8 ,1 ,45540 ,
2010年度,埼玉県 秩父市,66955 ,8733 ,18329 ,478 ,291 ,15 ,9 ,2 ,32710 ,
2010年度,埼玉県 所沢市,341924 ,43519 ,70413 ,2815 ,1905 ,32 ,15 ,6 ,169720 ,
2010年度,埼玉県 飯能市,83549 ,9776 ,19410 ,574 ,365 ,14 ,10 ,4 ,42237 ,
2010年度,埼玉県 加須市,115002 ,14698 ,23971 ,848 ,474 ,22 ,8 ,2 ,62594 ,
2010年度,埼玉県 本庄市,81889 ,10293 ,18592 ,627 ,387 ,13 ,5 ,7 ,42562 ,
2010年度,埼玉県 東松山市,90099 ,10882 ,18304 ,642 ,408 ,11 ,6 ,3 ,46460 ,
2010年度,埼玉県 春日部市,237171 ,29916 ,52062 ,1769 ,1129 ,24 ,14 ,6 ,121093 ,
2010年度,埼玉県 狭山市,155727 ,18630 ,35045 ,1130 ,774 ,17 ,11 ,6 ,80858 ,
2010年度,埼玉県 羽生市,56204 ,7236 ,12710 ,403 ,266 ,11 ,3 ,4 ,29119 ,
2010年度,埼玉県 鴻巣市,119639 ,15259 ,24945 ,854 ,551 ,19 ,8 ,3 ,61955 ,
2010年度,埼玉県 深谷市,144618 ,19930 ,30926 ,1177 ,687 ,19 ,10 ,5 ,75456 ,
2010年度,埼玉県 上尾市,223926 ,31097 ,46667 ,1749 ,1201 ,22 ,12 ,5 ,115807 ,
2010年度,埼玉県 草加市,243855 ,33409 ,46511 ,2076 ,1428 ,21 ,11 ,4 ,123307 ,
2010年度,埼玉県 越谷市,326313 ,44961 ,64514 ,2806 ,1864 ,30 ,16 ,7 ,167527 ,
2010年度,埼玉県 蕨市,71502 ,7887 ,14650 ,555 ,480 ,7 ,3 ,2 ,38317 ,
2010年度,埼玉県 戸田市,123079 ,18544 ,17593 ,1402 ,970 ,12 ,6 ,2 ,66268 ,
2010年度,埼玉県 入間市,149872 ,20099 ,30165 ,1125 ,669 ,16 ,11 ,6 ,77157 ,
2010年度,埼玉県 朝霞市,129691 ,18112 ,21332 ,1361 ,1057 ,10 ,5 ,2 ,68176 ,
2010年度,埼玉県 志木市,69611 ,9335 ,13523 ,599 ,428 ,8 ,4 ,3 ,36345 ,
2010年度,埼玉県 和光市,80745 ,11478 ,11353 ,896 ,701 ,8 ,3 ,2 ,44184 ,
2010年度,埼玉県 新座市,158777 ,21580 ,32263 ,1379 ,792 ,17 ,7 ,5 ,83611 ,
2010年度,埼玉県 桶川市,74711 ,9776 ,16608 ,550 ,345 ,7 ,4 ,2 ,38149 ,
2010年度,埼玉県 久喜市,154310 ,19009 ,32067 ,1080 ,727 ,23 ,11 ,5 ,80081 ,
2010年度,埼玉県 北本市,68888 ,8765 ,15043 ,442 ,299 ,8 ,4 ,1 ,35006 ,
2010年度,埼玉県 八潮市,82977 ,11661 ,16085 ,782 ,507 ,10 ,5 ,2 ,44040 ,
2010年度,埼玉県 富士見市,106736 ,14618 ,21579 ,986 ,630 ,11 ,6 ,1 ,55622 ,
2010年度,埼玉県 三郷市,131415 ,17200 ,25618 ,1040 ,676 ,20 ,8 ,3 ,71846 ,
2010年度,埼玉県 蓮田市,63309 ,7833 ,14965 ,464 ,334 ,8 ,5 ,1 ,31430 ,
2010年度,埼玉県 坂戸市,101700 ,13398 ,20959 ,819 ,453 ,13 ,8 ,4 ,51387 ,
2010年度,埼玉県 幸手市,54012 ,6106 ,12666 ,359 ,238 ,10 ,3 ,2 ,27983 ,
2010年度,埼玉県 鶴ヶ島市,69990 ,9684 ,12669 ,613 ,390 ,8 ,5 ,1 ,36818 ,
2010年度,埼玉県 日高市,57473 ,7687 ,12823 ,428 ,245 ,6 ,6 ,1 ,29636 ,
2010年度,埼玉県 吉川市,65298 ,10524 ,11299 ,569 ,355 ,7 ,3 ,1 ,34603 ,
2010年度,埼玉県 ふじみ野市,105695 ,14749 ,22848 ,873 ,581 ,13 ,6 ,2 ,53486 ,
2010年度,埼玉県 白岡市,50272 ,6738 ,10598 ,394 ,238 ,6 ,4 ,1 ,25759 ,
2005年度,埼玉県 さいたま市,1176314 ,170239 ,186779 ,10577 ,7345 ,104 ,66 ,36 ,609173 ,
2005年度,埼玉県 川越市,333795 ,45237 ,55929 ,2719 ,1870 ,33 ,26 ,15 ,174036 ,
2005年度,埼玉県 熊谷市,204675 ,27981 ,37409 ,1600 ,1042 ,30 ,17 ,8 ,107415 ,
2005年度,埼玉県 川口市,538434 ,75422 ,86088 ,5106 ,3713 ,54 ,27 ,9 ,292966 ,
2005年度,埼玉県 行田市,88815 ,12040 ,16505 ,677 ,441 ,16 ,8 ,1 ,47727 ,
2005年度,埼玉県 秩父市,70563 ,10116 ,17544 ,575 ,313 ,15 ,9 ,2 ,34903 ,
2005年度,埼玉県 所沢市,336100 ,44283 ,55566 ,2929 ,2043 ,33 ,15 ,7 ,167443 ,
2005年度,埼玉県 飯能市,84860 ,11151 ,16589 ,515 ,333 ,14 ,10 ,4 ,43027 ,
2005年度,埼玉県 加須市,115497 ,16211 ,20676 ,750 ,481 ,22 ,8 ,4 ,63120 ,
2005年度,埼玉県 本庄市,81957 ,11709 ,16238 ,648 ,422 ,13 ,4 ,7 ,43149 ,
2005年度,埼玉県 東松山市,91302 ,11892 ,14998 ,665 ,462 ,12 ,5 ,3 ,47194 ,
2005年度,埼玉県 春日部市,238506 ,32567 ,38834 ,1897 ,1334 ,24 ,14 ,6 ,125120 ,
2005年度,埼玉県 狭山市,158074 ,20169 ,26966 ,1162 ,882 ,18 ,11 ,6 ,83663 ,
2005年度,埼玉県 羽生市,56693 ,7855 ,11280 ,396 ,223 ,11 ,3 ,4 ,30248 ,
2005年度,埼玉県 鴻巣市,119594 ,16466 ,19677 ,837 ,562 ,19 ,8 ,3 ,62792 ,
2005年度,埼玉県 深谷市,146461 ,21232 ,26408 ,1270 ,752 ,19 ,10 ,6 ,78363 ,
2005年度,埼玉県 上尾市,220232 ,32150 ,35558 ,1958 ,1268 ,22 ,12 ,6 ,116097 ,
2005年度,埼玉県 草加市,236316 ,34353 ,34922 ,2262 ,1537 ,22 ,11 ,4 ,126242 ,
2005年度,埼玉県 越谷市,315792 ,45423 ,47559 ,2737 ,1896 ,29 ,16 ,7 ,166018 ,
2005年度,埼玉県 蕨市,70010 ,8247 ,12591 ,517 ,488 ,7 ,4 ,2 ,37143 ,
2005年度,埼玉県 戸田市,116696 ,18875 ,14042 ,1408 ,915 ,12 ,6 ,2 ,62734 ,
2005年度,埼玉県 入間市,148576 ,21403 ,23063 ,1200 ,724 ,16 ,11 ,6 ,78418 ,
2005年度,埼玉県 朝霞市,124393 ,18676 ,16863 ,1420 ,998 ,10 ,5 ,2 ,66507 ,
2005年度,埼玉県 志木市,67448 ,9125 ,10326 ,586 ,450 ,8 ,5 ,3 ,35488 ,
2005年度,埼玉県 和光市,76688 ,11035 ,9148 ,812 ,645 ,8 ,3 ,2 ,41822 ,
2005年度,埼玉県 新座市,153305 ,21274 ,24576 ,1283 ,844 ,17 ,7 ,5 ,82087 ,
2005年度,埼玉県 桶川市,73677 ,10197 ,13020 ,586 ,373 ,8 ,4 ,2 ,38506 ,
2005年度,埼玉県 久喜市,154684 ,20794 ,25328 ,1099 ,715 ,23 ,11 ,6 ,81702 ,
2005年度,埼玉県 北本市,70126 ,9813 ,11461 ,572 ,322 ,8 ,4 ,1 ,37510 ,
2005年度,埼玉県 八潮市,75507 ,11000 ,11648 ,665 ,455 ,10 ,5 ,2 ,41777 ,
2005年度,埼玉県 富士見市,104748 ,15022 ,16067 ,1048 ,684 ,12 ,6 ,1 ,55405 ,
2005年度,埼玉県 三郷市,128278 ,17581 ,17961 ,995 ,672 ,20 ,8 ,3 ,72487 ,
2005年度,埼玉県 蓮田市,63474 ,8024 ,11499 ,535 ,354 ,8 ,5 ,1 ,32930 ,
2005年度,埼玉県 坂戸市,98964 ,13031 ,15199 ,820 ,556 ,13 ,8 ,4 ,51959 ,
2005年度,埼玉県 幸手市,54006 ,6491 ,9456 ,313 ,224 ,10 ,4 ,2 ,29096 ,
2005年度,埼玉県 鶴ヶ島市,69783 ,9803 ,8823 ,625 ,403 ,8 ,5 ,1 ,37573 ,
2005年度,埼玉県 日高市,53619 ,6881 ,9471 ,386 ,262 ,6 ,6 ,1 ,28539 ,
2005年度,埼玉県 吉川市,60284 ,9605 ,8116 ,530 ,353 ,7 ,3 ,1 ,33119 ,
2005年度,埼玉県 ふじみ野市,101960 ,14617 ,17298 ,915 ,598 ,12 ,6 ,2 ,54098 ,
2005年度,埼玉県 白岡市,48389 ,7086 ,7922 ,387 ,251 ,6 ,4 ,1 ,25063 ,
2000年度,埼玉県 さいたま市,1133300 ,169929 ,145087 ,11767 ,7984 ,102 ,61 ,36 ,592864 ,
2000年度,埼玉県 川越市,330766 ,46989 ,42377 ,2922 ,2112 ,33 ,25 ,15 ,174928 ,
2000年度,埼玉県 熊谷市,206446 ,30893 ,31365 ,1809 ,1191 ,30 ,17 ,-,108897 ,
2000年度,埼玉県 川口市,514545 ,74133 ,64461 ,5325 ,4163 ,53 ,27 ,9 ,285673 ,
2000年度,埼玉県 行田市,90530 ,13518 ,14352 ,731 ,503 ,16 ,8 ,-,48339 ,
2000年度,埼玉県 秩父市,73875 ,11322 ,16161 ,654 ,366 ,17 ,9 ,-,36272 ,
2000年度,埼玉県 所沢市,330100 ,46684 ,40929 ,3309 ,2326 ,33 ,15 ,8 ,168764 ,
2000年度,埼玉県 飯能市,85886 ,12771 ,13852 ,593 ,401 ,14 ,9 ,-,43603 ,
2000年度,埼玉県 加須市,117777 ,19120 ,18020 ,909 ,586 ,22 ,8 ,-,62687 ,
2000年度,埼玉県 本庄市,82670 ,12761 ,14288 ,779 ,488 ,13 ,4 ,7 ,43310 ,
2000年度,埼玉県 東松山市,92929 ,13860 ,12058 ,803 ,513 ,12 ,5 ,3 ,47422 ,
2000年度,埼玉県 春日部市,240924 ,34891 ,27651 ,2220 ,1541 ,26 ,13 ,6 ,128810 ,
2000年度,埼玉県 狭山市,161460 ,22422 ,20202 ,1426 ,1012 ,17 ,11 ,6 ,86749 ,
2000年度,埼玉県 羽生市,57499 ,8639 ,9889 ,425 ,278 ,11 ,3 ,4 ,30210 ,
2000年度,埼玉県 鴻巣市,120271 ,18660 ,15751 ,995 ,605 ,19 ,8 ,-,62726 ,
2000年度,埼玉県 深谷市,146562 ,22599 ,22759 ,1447 ,890 ,19 ,10 ,-,79286 ,
