調査年,地域,A総人口【人】,A15歳未満人口【人】,A65歳以上人口【人】,A未婚人口（15歳以上）（男）【人】,A未婚人口（15歳以上）（女）【人】,A有配偶人口（15歳以上）（男）【人】,A有配偶人口（15歳以上）（女）【人】,A出生数【人】,B年平均気温【℃】,B降水日数（年間）【日】,B降水量（年間）【ｍｍ】,C農業産出額【百万円】,C耕地面積【ｈａ】,D市町村数【‐】,D財政力指数（都道府県財政）【‐】,D実質収支比率（都道府県財政）【％】,D経常収支比率（都道府県財政）【％】,D歳入決算総額（都道府県財政）【千円】,D地方税（都道府県財政）【千円】,D教育費（都道府県財政）【千円】,D人件費（都道府県財政）【千円】,D普通税（地方税）【千円】,D行政総投資額【千円】,E幼稚園数【園】,E小学校数【校】,E中学校数【校】,E高等学校数【校】,E大学数【校】,F新規求職申込件数（一般）【件】,F所定内実労働時間数（男）（～2019）【時間】,F超過実労働時間数（男）（～2019）【時間】,G社会教育関係職員数【人】,G公民館数【館】,G図書館数【館】,G博物館数【館】,G社会体育施設数【施設】,G重要文化財指定件数【件】,G仏教系信者数【人】,GＮＰＯ法人認証数【法人】,G献血者数【人】,Hガソリン販売量【ｋｌ】,Hごみ処理量（総量）【ｔ】,H道路実延長【ｋｍ】,H都市公園数【箇所】,I身長（高校2年）（男）【ｃｍ】,I身長（高校2年）（女）【ｃｍ】,I体重（高校2年）（男）【ｋｇ】,I体重（高校2年）（女）【ｋｇ】,I50ｍ走（中学2年）（男）【秒】,I病院数【施設】,I医師数【人】,I医薬品販売業数【所】,I2500ｇ未満の出生数【人】,J生活保護被保護実世帯数【世帯】,J一人当たりの医療費【千円】,J厚生年金保険受給権者年金総額【千円】,K消防本部・署数【署】,K交通事故発生件数【件】
2020年度,埼玉県,7344765,858384,1934994,997314,739156,1775216,1790813,47328,16,101,1364,167800,74100,63,0.77024,2.2,94.7,2134833949,932703098,475062717,552079125,2034065468,774350739,518,814,448,193,28,134109,165,17,1104,489,172,25,1648,84,1537398,2144,237423,2153822,2243230,47175,5443,170,157,61,51,7,342,13604,2366,4467,76350,298,1533282617,221,17115
2019年度,埼玉県,7342000,881000,1961000,1003485,740469,1784727,1799538,48298,16,98,1460,167800,74500,63,0.76907,0.4,97.7,1757492005,894372700,480694073,565955118,1996082647,725312012,530,814,447,194,28,129896,165,17,1104,489,172,25,1648,84,1560640,2149,226446,2322742,2231939,47125,5356,170,157,60,52,7,342,13266,2311,4587,75413,311,1525349329,221,21359
2018年度,埼玉県,7325000,891000,1934000,1009656,741782,1794239,1808264,51241,16,86,1056,175800,74800,63,0.76618,0.4,96.5,1730369804,904271793,485069555,569113871,1986981859,700284719,544,817,446,194,28,133257,166,18,1104,489,172,25,1648,83,1969639,2162,226617,2395013,2193291,47056,5316,169,158,58,53,7,345,12928,2286,4816,74537,303,1534650085,220,24123
2017年度,埼玉県,7307000,899000,1900000,1015827,743095,1803750,1816990,53076,15,93,1308,198000,75200,63,0.7661,0.4,96.8,1753196941,895524715,486527453,567941092,1941603065,751210869,563,819,446,196,28,142747,169,18,1104,490,170,25,1659,81,1988476,2156,227017,2434175,2188746,47072,5268,170,157,61,52,7,343,12550,2236,4994,73870,300,1536563157,220,26276
2016年度,埼玉県,7288000,907000,1857000,1021998,744408,1813262,1825716,54452,15,101,1301,204600,75800,63,0.76593,0.4,96.9,1722075796,864864928,525655702,613071626,1895847112,712927187,574,820,446,196,28,151364,167,17,1104,491,168,25,1670,81,1526850,2137,229425,2513661,2195691,47048,5179,170,158,60,52,7,342,12172,2202,4989,72791,292,1524995783,220,27816
2015年度,埼玉県,7266534,910805,1788735,1028169,745721,1822774,1834442,56078,16,101,1335,198700,76300,63,0.76548,0.5,94.9,1721513382,868873037,520714400,611296980,1884758416,690846921,590,820,449,196,30,162746,169,16,1105,493,167,25,1682,80,1523556,2073,236264,2472203,2242139,46947,5100,169,157,60,53,7,343,11837,2183,5305,71356,291,1531812997,221,29528
2014年度,埼玉県,7247000,929000,1737000,1030075,743905,1822630,1833348,55765,15,90,1387,190200,77000,63,0.75502,0.6,94.6,1719536974,761436427,512730445,610442919,1779255876,784866385,625,820,451,196,29,174829,168,17,1156,496,165,25,1680,80,1511036,2036,230309,2419298,2266121,46863,5059,169,158,60,52,7,341,11503,2189,5257,69784,278,1511604174,222,30821
2013年度,埼玉県,7228000,934000,1661000,1031982,742089,1822486,1832254,57470,15,92,1251,201200,77700,63,0.74636,0.3,94.8,1641301946,724133899,493554550,590533684,1720865283,754987527,626,821,452,196,29,190599,166,19,1207,500,163,25,1679,80,1521025,1991,245060,2508891,2277904,46830,4973,169,157,60,52,7,342,11323,2173,5537,68007,270,1510518504,224,33280
2012年度,埼玉県,7216000,940000,1585000,1033888,740273,1822342,1831161,56943,15,101,1079,201200,78300,63,0.73265,0.3,96,1633973624,711642205,519886214,625671618,1701304267,737669921,627,822,449,201,29,210465,169,18,1258,503,161,25,1678,79,1416492,1917,252626,2503360,2278843,46722,4892,169,157,61,52,8,347,11143,2121,5421,65363,263,1555716377,232,35600
2011年度,埼玉県,7209000,949000,1506000,1035795,738457,1822198,1830067,58059,15,79,1324,196700,79000,64,0.74039,0.4,96.9,1630491604,692737135,523447064,636698749,1680789379,687812470,629,824,448,201,29,232411,170,16,1309,507,160,25,1677,78,1469854,1664,239280,2529817,2278743,46728,4777,169,157,61,52,7,346,10916,2095,5454,61011,256,1543922967,233,37410
2010年度,埼玉県,7194556,953668,1464860,1037702,736642,1822054,1828974,59437,15,111,1307,200400,79800,64,0.75525,0.5,93.3,1659516865,700316956,530171285,641534237,1685099634,735824104,631,828,449,200,30,237810,167,18,1248,507,159,24,1668,79,1321662,1525,254458,2715822,2281302,46644,4676,170,158,61,52,7,348,10689,2057,5661,54992,247,1511639113,233,39581
2009年度,埼玉県,7161000,969000,1427000,1031332,733104,1819828,1826621,59725,15,96,1111,199500,80500,70,0.77708,0.5,97.1,1672453702,731247920,533223172,648476301,1728096946,793265583,632,828,448,203,29,252527,167,13,1187,507,158,23,1660,79,1511847,1420,256936,2669083,2331258,46558,4564,170,157,60,52,7,353,10541,2069,5626,46715,239,1481301358,233,38689
2008年度,埼玉県,7136000,975000,1361000,1024963,729566,1817602,1824268,60520,15,106,1392,199700,81400,70,0.76926,0.5,95.8,1591600783,836115131,534410036,655387724,1810092941,771088002,638,829,448,206,28,207033,167,16,1127,508,157,23,1652,78,1480428,1317,247632,2672545,2404115,46491,4448,170,157,62,53,7,355,10393,2016,5718,39885,231,1433406571,233,40890
2007年度,埼玉県,7106000,978000,1294000,1018593,726028,1815376,1821916,60818,15,90,1068,194500,83000,70,0.73732,0.6,96.2,1545740507,867378613,535057198,661290192,1827607037,766209856,642,830,451,208,28,173697,168,19,1160,514,153,24,1661,76,1436227,1190,244058,2862484,2483080,46422,4300,170,158,62,54,8,356,10204,2037,5762,37554,225,1392776924,234,44820
2006年度,埼玉県,7079000,983000,1225000,1012224,722490,1813150,1819563,61201,15,95,1438,190000,84200,71,0.69338,0.7,92.6,1569709103,739328771,528515118,653308992,1617143417,743758068,648,831,450,208,27,177979,170,21,1194,521,150,25,1671,74,1463306,1089,235740,2894827,2558529,46354,4191,170,158,61,54,8,359,10016,2058,5849,36224,219,1372347820,234,48259
2005年度,埼玉県,7054243,986361,1157006,1005855,718953,1810924,1817211,59731,15,87,1190,193300,84800,85,0.65493,0.4,94.9,1517007869,681714603,521389129,644689943,1519350074,765836916,650,833,449,208,27,195958,170,17,1228,528,147,26,1681,73,1513628,880,236221,2990949,2566235,46292,4103,170,158,63,53,8,361,9735,2105,5731,34596,214,1344878457,236,53564
2004年度,埼玉県,7046000,1000000,1093000,1005969,721444,1806428,1812129,61946,16,92,1316,196800,85400,90,0.62966,0.4,93.5,1557103956,664996642,525981125,637729319,1476165862,867749244,653,833,446,212,26,205643,168,16,1313,533,144,25,1678,72,1585916,645,236221,3012460,2525147,46244,3999,169,158,61,53,8,363,9454,2196,5894,32634,208,1308475255,236,52814
2003年度,埼玉県,7028000,1007000,1046000,1006083,723936,1801932,1807047,63224,14,120,1230,200400,85800,90,0.6162,0.4,91.9,1572528904,633292981,526412846,634430751,1434156236,996325147,653,836,446,212,23,237916,168,15,1398,538,142,24,1676,72,1601976,449,236221,2955521,2590300,46098,3832,170,158,62,53,8,364,9193,2261,5726,29816,203,1284585751,234,52215
2002年度,埼玉県,7000000,1013000,995000,1006198,726428,1797436,1801966,64762,15,84,1261,200000,86000,90,0.60991,0.3,96.1,1690022352,618667484,532378902,637127270,1446649887,1170860675,654,838,442,212,22,249690,168,15,1484,543,140,23,1674,71,1610094,259,236221,2974527,2585664,46004,3757,170,158,60,53,8,367,8932,2344,5805,26253,198,1226540307,235,51617
2001年度,埼玉県,6977000,1019000,945000,1006312,728920,1792940,1796884,65417,15,86,1376,197900,86600,92,0.61522,0.3,94.4,1759559496,689697451,547049040,642850870,1527137891,1235184443,657,840,439,212,23,223857,169,17,1443,543,136,22,1660,69,1663896,159,236221,2957052,2566891,45869,3652,170,157,61,54,8,366,8689,2371,5667,23408,194,1156515656,235,52264
2000年度,埼玉県,6938006,1024787,889243,1006427,731412,1788444,1791803,66376,15,79,1324,205200,87500,92,0.65299,0.3,92.9,1768997546,699547642,556803102,636170916,1533341929,1367201431,659,842,438,213,20,205141,170,17,1402,544,132,21,1646,69,1661844,159,236221,2924856,2549441,45767,3327,170,158,61,54,8,367,8447,2429,5812,20836,190,1115656970,235,50441
1999年度,埼玉県,6906000,1041000,835000,1006427,731412,1788444,1791803,65711,15,87,1357,219700,88100,92,0.69831,0.3,94.8,1825771311,659383128,552116254,639969540,1509938813,1617431118,660,843,435,211,20,215190,168,14,1362,545,129,20,1632,69,1662249,159,236221,2912267,2486129,45687,3221,170,157,61,53,8,366,8239,2481,5544,18633,187,1058269951,232,43837
1998年度,埼玉県,6877000,1053000,795000,1006427,731412,1788444,1791803,67144,15,120,1870,230200,88900,92,0.72217,0.4,99.1,1978956014,686371346,578036474,635498101,1540908430,1618450638,665,843,435,211,18,204916,168,15,1362,545,129,20,1632,69,1674989,159,236221,2763231,2486129,45598,3146,170,158,61,52,8,368,8031,2589,5285,16906,187,994924029,233,40046
